name,formatted_address,geometry,permanently_closed,lat,lng
Schmidt & Associates Development Planning Ltd.,"1166 Alberni St #1440, Vancouver, BC V6E 3Z3, Canada","{'location': {'lat': 49.28889299999999, 'lng': -123.1297295}, 'viewport': {'northeast': {'lat': 49.29031577989272, 'lng': -123.1282684201072}, 'southwest': {'lat': 49.28761612010727, 'lng': -123.1309680798927}}}",,49.28889299999999,-123.1297295
Concord Pacific Developments Inc. (Head Office),"1095 W Pender St 9th Floor, Vancouver, BC V6E 2M6, Canada","{'location': {'lat': 49.2875787, 'lng': -123.119728}, 'viewport': {'northeast': {'lat': 49.28886482989272, 'lng': -123.1185919201072}, 'southwest': {'lat': 49.28616517010728, 'lng': -123.1212915798927}}}",,49.2875787,-123.119728
"Burke, Dos Remedios Law Corporation","1103-750 W Pender St, Vancouver, BC V6C 1G8, Canada","{'location': {'lat': 49.2847818, 'lng': -123.1157242}, 'viewport': {'northeast': {'lat': 49.28622287989273, 'lng': -123.1141730201072}, 'southwest': {'lat': 49.28352322010728, 'lng': -123.1168726798927}}}",,49.2847818,-123.1157242
Imperial Parking Canada Corporation,"601 W Cordova St S #300, Vancouver, BC V6B 1G1, Canada","{'location': {'lat': 49.2855813, 'lng': -123.1118702}, 'viewport': {'northeast': {'lat': 49.28718307989272, 'lng': -123.1109301201073}, 'southwest': {'lat': 49.28448342010728, 'lng': -123.1136297798927}}}",,49.2855813,-123.1118702
VIA Rail Canada Inc.,"1150 Station St, Vancouver, BC V6A 2X7, Canada","{'location': {'lat': 49.2740915, 'lng': -123.0970939}, 'viewport': {'northeast': {'lat': 49.27548867989272, 'lng': -123.0957253201073}, 'southwest': {'lat': 49.27278902010728, 'lng': -123.0984249798927}}}",,49.2740915,-123.0970939
Alice Home Facilitators,"610 Granville St, Vancouver, BC V6C 3T3, Canada","{'location': {'lat': 49.28325659999999, 'lng': -123.116458}, 'viewport': {'northeast': {'lat': 49.28469547989273, 'lng': -123.1152504701073}, 'southwest': {'lat': 49.28199582010728, 'lng': -123.1179501298927}}}",,49.28325659999999,-123.116458
Prime Interiors Inc,"610 Granville St Suite 603, Vancouver, BC V6C 3T3, Canada","{'location': {'lat': 49.283257, 'lng': -123.116458}, 'viewport': {'northeast': {'lat': 49.28469577989271, 'lng': -123.1152503201073}, 'southwest': {'lat': 49.28199612010727, 'lng': -123.1179499798927}}}",,49.283257,-123.116458
S&S Insurance Services ICBC Autoplan,"6607 Main St, Vancouver, BC V5X 3H3, Canada","{'location': {'lat': 49.2245934, 'lng': -123.1018972}, 'viewport': {'northeast': {'lat': 49.22600367989272, 'lng': -123.1005386201073}, 'southwest': {'lat': 49.22330402010728, 'lng': -123.1032382798927}}}",,49.2245934,-123.1018972
A & S Insurance Services Ltd,"8294 120 St, Surrey, BC V3W 3N4, Canada","{'location': {'lat': 49.1539428, 'lng': -122.8900087}, 'viewport': {'northeast': {'lat': 49.15529672989273, 'lng': -122.8888371201073}, 'southwest': {'lat': 49.15259707010728, 'lng': -122.8915367798927}}}",,49.1539428,-122.8900087
T A Management Ltd,"1111 W Georgia St #308, Vancouver, BC V6E 4M3, Canada","{'location': {'lat': 49.2861821, 'lng': -123.1233108}, 'viewport': {'northeast': {'lat': 49.28748742989272, 'lng': -123.1221566701073}, 'southwest': {'lat': 49.28478777010728, 'lng': -123.1248563298928}}}",,49.2861821,-123.1233108
