BusinessName,Geom,count,lng,lat
Benjamin Sai Bun Yeung (Benjamin Yeung),"{""type"": ""Point"", ""coordinates"": [-123.125682236504, 49.2861554000034]}",72,-123.125682236504, 49.2861554000034
Hossack/Newby/Graham & Smith Real Estate Appra,"{""type"": ""Point"", ""coordinates"": [-123.144249988032, 49.263980782002]}",44,-123.144249988032, 49.263980782002
Imperial Parking Canada Corporation,"{""type"": ""Point"", ""coordinates"": [-123.111518282345, 49.2855753024676]}",42,-123.111518282345, 49.2855753024676
Sumitomo Canada Limited,"{""type"": ""Point"", ""coordinates"": [-123.116383207944, 49.2843253122431]}",40,-123.116383207944, 49.2843253122431
Buntain Insurance Agencies Ltd,"{""type"": ""Point"", ""coordinates"": [-123.186146797687, 49.2637391213605]}",39,-123.186146797687, 49.2637391213605
(Walter Toews),"{""type"": ""Point"", ""coordinates"": [-123.147034792298, 49.2683007895461]}",37,-123.147034792298, 49.2683007895461
Concord Pacific Developments Inc,"{""type"": ""Point"", ""coordinates"": [-123.104665220012, 49.2761990937351]}",36,-123.104665220012, 49.2761990937351
RBC Dominion Securities Inc,"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",34,-123.119358394194, 49.2850670237956
Via Rail Canada Inc,"{""type"": ""Point"", ""coordinates"": [-123.097968780581, 49.2737669456772]}",32,-123.097968780581, 49.2737669456772
TA Management Limited,"{""type"": ""Point"", ""coordinates"": [-123.123371126996, 49.2863162415518]}",31,-123.123371126996, 49.2863162415518
Metropolitan Insurance Brokers Ltd,"{""type"": ""Point"", ""coordinates"": [-123.070347971153, 49.2698637023505]}",28,-123.070347971153, 49.2698637023505
J & R McConchie Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",28,-123.119358394194, 49.2850670237956
Alice-Home Facilitators Ltd,"{""type"": ""Point"", ""coordinates"": [-123.118522373666, 49.2818433477786]}",28,-123.118522373666, 49.2818433477786
(Victor Alvarado),"{""type"": ""Point"", ""coordinates"": [-123.07844343017, 49.2517461322009]}",28,-123.07844343017, 49.2517461322009
John Mickelson Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.121102781728, 49.2755950557928]}",27,-123.121102781728, 49.2755950557928
Mason Agency Ltd,"{""type"": ""Point"", ""coordinates"": [-123.114569797322, 49.2853593925229]}",27,-123.114569797322, 49.2853593925229
Sun Life Assurance Company of Canada,"{""type"": ""Point"", ""coordinates"": [-123.122816935146, 49.2865812989245]}",27,-123.122816935146, 49.2865812989245
(George Mouzourakis),"{""type"": ""Point"", ""coordinates"": [-123.124913915747, 49.2800408534638]}",27,-123.124913915747, 49.2800408534638
Z Philip Wiseman Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.121381503733, 49.2635970771104]}",27,-123.121381503733, 49.2635970771104
The Burrard Building Maintenance Office,"{""type"": ""Point"", ""coordinates"": [-123.122008869142, 49.2845352944803]}",27,-123.122008869142, 49.2845352944803
(M Clemens),"{""type"": ""Point"", ""coordinates"": [-123.122279791872, 49.2806751596638]}",27,-123.122279791872, 49.2806751596638
Gordon R Johnson (Gordon Johnson),"{""type"": ""Point"", ""coordinates"": [-123.114160847462, 49.2872691122216]}",26,-123.114160847462, 49.2872691122216
(Elaine Lu),"{""type"": ""Point"", ""coordinates"": [-123.117897724969, 49.2818316993831]}",26,-123.117897724969, 49.2818316993831
Granville West Group Ltd,"{""type"": ""Point"", ""coordinates"": [-123.122189505874, 49.2858641494082]}",26,-123.122189505874, 49.2858641494082
Knight Piesold Ltd,"{""type"": ""Point"", ""coordinates"": [-123.115619724804, 49.2848045499607]}",26,-123.115619724804, 49.2848045499607
(Bob Turner),"{""type"": ""Point"", ""coordinates"": [-123.135616810192, 49.2718981720532]}",26,-123.135616810192, 49.2718981720532
Brian F Hiebert (Brian Hiebert),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
A + Automation Plus Business Services Inc,"{""type"": ""Point"", ""coordinates"": [-123.11723844762, 49.2875182283394]}",26,-123.11723844762, 49.2875182283394
Vinasafe Insurance Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.082665829077, 49.2529918510123]}",26,-123.082665829077, 49.2529918510123
(Robert Half),"{""type"": ""Point"", ""coordinates"": [-123.120915798954, 49.2865514070226]}",26,-123.120915798954, 49.2865514070226
John C Fiddes (John Fiddes),"{""type"": ""Point"", ""coordinates"": [-123.124913915747, 49.2800408534638]}",26,-123.124913915747, 49.2800408534638
New Look Business Centre Ltd,"{""type"": ""Point"", ""coordinates"": [-123.133064428914, 49.2663820185595]}",26,-123.133064428914, 49.2663820185595
Allen A Soltan (Allen Soltan),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
(Hd Feller),"{""type"": ""Point"", ""coordinates"": [-123.117075300267, 49.2866170597465]}",26,-123.117075300267, 49.2866170597465
(Barbara Findlay),"{""type"": ""Point"", ""coordinates"": [-123.129591896776, 49.2797042382855]}",26,-123.129591896776, 49.2797042382855
Oakwest Insurance Agencies Ltd,"{""type"": ""Point"", ""coordinates"": [-123.118854822642, 49.2320652387003]}",26,-123.118854822642, 49.2320652387003
W H Downs (W Downs),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
Robert D Holmes Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.123371126996, 49.2863162415518]}",26,-123.123371126996, 49.2863162415518
B&C List (1982) Ltd,"{""type"": ""Point"", ""coordinates"": [-123.109563124549, 49.2099311576165]}",26,-123.109563124549, 49.2099311576165
Canusa Wood Products Ltd,"{""type"": ""Point"", ""coordinates"": [-123.126344928205, 49.2882253834632]}",26,-123.126344928205, 49.2882253834632
Bellwest Investments & Consulting Inc,"{""type"": ""Point"", ""coordinates"": [-123.117897724969, 49.2818316993831]}",26,-123.117897724969, 49.2818316993831
The Drawing Room Graphic Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.127496026197, 49.2637069526358]}",26,-123.127496026197, 49.2637069526358
Blair M Shaw (Blair Shaw),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
J J Mcintyre Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.115947356659, 49.2843522951602]}",26,-123.115947356659, 49.2843522951602
(Diane Voth),"{""type"": ""Point"", ""coordinates"": [-123.124913915747, 49.2800408534638]}",26,-123.124913915747, 49.2800408534638
William D Fisher (William Fisher),"{""type"": ""Point"", ""coordinates"": [-123.110029006403, 49.2837321709141]}",26,-123.110029006403, 49.2837321709141
Gary Van Dijk (Gary Dijk),"{""type"": ""Point"", ""coordinates"": [-123.134088548504, 49.2718365575468]}",26,-123.134088548504, 49.2718365575468
Leap Creative Group Inc,"{""type"": ""Point"", ""coordinates"": [-123.142396969711, 49.2699720414541]}",26,-123.142396969711, 49.2699720414541
M A Schmidt (M Schmidt),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
Pacific Paragon Financial Group Ltd,"{""type"": ""Point"", ""coordinates"": [-123.122008869142, 49.2845352944803]}",26,-123.122008869142, 49.2845352944803
R E Lock & Associates Ltd,"{""type"": ""Point"", ""coordinates"": [-123.122490354875, 49.2848518559734]}",26,-123.122490354875, 49.2848518559734
(Cam McKechnie),"{""type"": ""Point"", ""coordinates"": [-123.120702300081, 49.2751484139772]}",26,-123.120702300081, 49.2751484139772
E Sands & Associates Inc,"{""type"": ""Point"", ""coordinates"": [-123.122816935146, 49.2865812989245]}",26,-123.122816935146, 49.2865812989245
(S Schachter),"{""type"": ""Point"", ""coordinates"": [-123.122279791872, 49.2806751596638]}",26,-123.122279791872, 49.2806751596638
P John Landry (P Landry),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
London Life Insurance Co,"{""type"": ""Point"", ""coordinates"": [-123.123371126996, 49.2863162415518]}",26,-123.123371126996, 49.2863162415518
Donald W Cooper (Donald Cooper),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
Fpc Services Inc,"{""type"": ""Point"", ""coordinates"": [-123.116271513516, 49.2851966342089]}",26,-123.116271513516, 49.2851966342089
Shael Smith Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.122189505874, 49.2858641494082]}",26,-123.122189505874, 49.2858641494082
Leslie J Mackoff Law Corp,"{""type"": ""Point"", ""coordinates"": [-123.124913915747, 49.2800408534638]}",26,-123.124913915747, 49.2800408534638
Leith Wheeler Investment Counsel Ltd,"{""type"": ""Point"", ""coordinates"": [-123.117075300267, 49.2866170597465]}",26,-123.117075300267, 49.2866170597465
Brian D Mackay (Brian Mackay),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
David M Guy Esq Personal Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.10001249288, 49.2838113918248]}",26,-123.10001249288, 49.2838113918248
Pacific Newspaper Group Inc,"{""type"": ""Point"", ""coordinates"": [-123.112189281814, 49.2866321702408]}",26,-123.112189281814, 49.2866321702408
Paul R Albi (Paul Albi),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",26,-123.119358394194, 49.2850670237956
Macluan Capital Corporation,"{""type"": ""Point"", ""coordinates"": [-123.122490354875, 49.2848518559734]}",25,-123.122490354875, 49.2848518559734
W T Leung Architects Inc,"{""type"": ""Point"", ""coordinates"": [-123.125687280142, 49.2636725307782]}",25,-123.125687280142, 49.2636725307782
Robert K Hartshorne (Robert Hartshorne),"{""type"": ""Point"", ""coordinates"": [-123.100622756664, 49.2613185200251]}",25,-123.100622756664, 49.2613185200251
Robert James King Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.116060633524, 49.2872235032218]}",25,-123.116060633524, 49.2872235032218
Robert J McDonell (Robert McDonell),"{""type"": ""Point"", ""coordinates"": [-123.119500778402, 49.2822434350563]}",25,-123.119500778402, 49.2822434350563
BCAA Holdings Ltd,"{""type"": ""Point"", ""coordinates"": [-123.160761962761, 49.2349008737789]}",25,-123.160761962761, 49.2349008737789
(Tomio Suzuki),"{""type"": ""Point"", ""coordinates"": [-123.122835857511, 49.2803098063228]}",25,-123.122835857511, 49.2803098063228
Theodor D Sterling And Associates Ltd,"{""type"": ""Point"", ""coordinates"": [-123.120702300081, 49.2751484139772]}",25,-123.120702300081, 49.2751484139772
Kirsten G Mehl (Kirsten Mehl),"{""type"": ""Point"", ""coordinates"": [-123.100622756664, 49.2613185200251]}",25,-123.100622756664, 49.2613185200251
A & A Trading Ltd,"{""type"": ""Point"", ""coordinates"": [-123.122115694066, 49.2868896949297]}",25,-123.122115694066, 49.2868896949297
Panalpina Inc,"{""type"": ""Point"", ""coordinates"": [-123.122816935146, 49.2865812989245]}",25,-123.122816935146, 49.2865812989245
Ray Wong Insurance Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.132937154482, 49.2894556238527]}",25,-123.132937154482, 49.2894556238527
B & B Scale Models Ltd,"{""type"": ""Point"", ""coordinates"": [-123.135608504334, 49.2715711974791]}",25,-123.135608504334, 49.2715711974791
Magusta Development Bc Ltd,"{""type"": ""Point"", ""coordinates"": [-123.122008869142, 49.2845352944803]}",25,-123.122008869142, 49.2845352944803
Robert D J Brown (Robert Brown),"{""type"": ""Point"", ""coordinates"": [-123.122835857511, 49.2803098063228]}",25,-123.122835857511, 49.2803098063228
(N Nagin),"{""type"": ""Point"", ""coordinates"": [-123.122835857511, 49.2803098063228]}",25,-123.122835857511, 49.2803098063228
Thomas J Campbell (Thomas Campbell),"{""type"": ""Point"", ""coordinates"": [-123.115947356659, 49.2843522951602]}",25,-123.115947356659, 49.2843522951602
Thomas Leung Structural Engineering Inc,"{""type"": ""Point"", ""coordinates"": [-123.107559858772, 49.2658290960759]}",25,-123.107559858772, 49.2658290960759
Wah Loong Development Inc,"{""type"": ""Point"", ""coordinates"": [-123.098022584843, 49.2791766945663]}",25,-123.098022584843, 49.2791766945663
Bastion Development Corporation,"{""type"": ""Point"", ""coordinates"": [-123.146783549831, 49.270929865845]}",25,-123.146783549831, 49.270929865845
Robert S Anderson (Robert Anderson),"{""type"": ""Point"", ""coordinates"": [-123.119500778402, 49.2822434350563]}",25,-123.119500778402, 49.2822434350563
Thomas W Bailey Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.111518282345, 49.2855753024676]}",25,-123.111518282345, 49.2855753024676
Vancouver Tower Ltd,"{""type"": ""Point"", ""coordinates"": [-123.12530306591, 49.2824259356852]}",25,-123.12530306591, 49.2824259356852
Wayne Hum Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.125682236504, 49.2861554000034]}",25,-123.125682236504, 49.2861554000034
Vancouver Shinpo-Sha Publishing Ltd,"{""type"": ""Point"", ""coordinates"": [-123.044819135695, 49.251172489221]}",25,-123.044819135695, 49.251172489221
Wawanesa Mutual Insurance Co,"{""type"": ""Point"", ""coordinates"": [-123.150047306303, 49.2640616597226]}",25,-123.150047306303, 49.2640616597226
Wasserman & Partners Advertising Inc,"{""type"": ""Point"", ""coordinates"": [-123.119287202894, 49.2760867503332]}",25,-123.119287202894, 49.2760867503332
Vancouver Rent A Car Ltd,"{""type"": ""Point"", ""coordinates"": [-123.102700833253, 49.2103730867734]}",25,-123.102700833253, 49.2103730867734
(Stephen Schneiderman),"{""type"": ""Point"", ""coordinates"": [-123.115919426108, 49.2862337084847]}",25,-123.115919426108, 49.2862337084847
J Mcleod,"{""type"": ""Point"", ""coordinates"": [-123.112336398426, 49.2826590031753]}",25,-123.112336398426, 49.2826590031753
Rar Consultants Ltd,"{""type"": ""Point"", ""coordinates"": [-123.128793697924, 49.2622010288725]}",25,-123.128793697924, 49.2622010288725
Vancouver Financial Planning Consultants Inc,"{""type"": ""Point"", ""coordinates"": [-123.116271513516, 49.2851966342089]}",25,-123.116271513516, 49.2851966342089
MHK Management Ltd,"{""type"": ""Point"", ""coordinates"": [-123.123371126996, 49.2863162415518]}",25,-123.123371126996, 49.2863162415518
Jack W Chow Insurance Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.104774947073, 49.2804258937077]}",25,-123.104774947073, 49.2804258937077
(Marvin Storrow),"{""type"": ""Point"", ""coordinates"": [-123.11972958074, 49.2861303368945]}",25,-123.11972958074, 49.2861303368945
(Sikander Visram),"{""type"": ""Point"", ""coordinates"": [-123.031173901037, 49.2322565728136]}",25,-123.031173901037, 49.2322565728136
The Guarantee Company Of North America,"{""type"": ""Point"", ""coordinates"": [-123.117075300267, 49.2866170597465]}",25,-123.117075300267, 49.2866170597465
885 Professional Mgmt Limited Partnership,"{""type"": ""Point"", ""coordinates"": [-123.119650025722, 49.2836841369494]}",25,-123.119650025722, 49.2836841369494
Robert T Groves (Robert Groves),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",25,-123.119358394194, 49.2850670237956
Laidar Holdings Ltd,"{""type"": ""Point"", ""coordinates"": [-123.122237018287, 49.263789572122]}",25,-123.122237018287, 49.263789572122
Atlific Inc,"{""type"": ""Point"", ""coordinates"": [-123.125783291358, 49.2783435178968]}",25,-123.125783291358, 49.2783435178968
Realtech Capital Group Inc,"{""type"": ""Point"", ""coordinates"": [-123.122008869142, 49.2845352944803]}",25,-123.122008869142, 49.2845352944803
117745 B C Ltd,"{""type"": ""Point"", ""coordinates"": [-123.11972958074, 49.2861303368945]}",25,-123.11972958074, 49.2861303368945
Real Estate Errors & Omissions Insurance Corp,"{""type"": ""Point"", ""coordinates"": [-123.115619724804, 49.2848045499607]}",25,-123.115619724804, 49.2848045499607
Mapleleaf Insurance Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.091099031878, 49.2271599529353]}",25,-123.091099031878, 49.2271599529353
Allan Diamond Architects,"{""type"": ""Point"", ""coordinates"": [-123.141014485666, 49.2694430562439]}",25,-123.141014485666, 49.2694430562439
All-West Insurance Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.146007055873, 49.2691457616236]}",25,-123.146007055873, 49.2691457616236
(Anthony Remedios),"{""type"": ""Point"", ""coordinates"": [-123.122008869142, 49.2845352944803]}",25,-123.122008869142, 49.2845352944803
Lam Marine Supplies Ltd,"{""type"": ""Point"", ""coordinates"": [-123.088162016972, 49.2823227235959]}",25,-123.088162016972, 49.2823227235959
Rafii Architects Inc,"{""type"": ""Point"", ""coordinates"": [-123.132598466507, 49.2738113996826]}",25,-123.132598466507, 49.2738113996826
Rainbow Insurance Agency Ltd,"{""type"": ""Point"", ""coordinates"": [-123.146107102251, 49.2641886485174]}",25,-123.146107102251, 49.2641886485174
Ramzan N Jussa (Ramzan Jussa),"{""type"": ""Point"", ""coordinates"": [-123.100980673634, 49.2427091674077]}",25,-123.100980673634, 49.2427091674077
A Thomas Clarke (A Clarke),"{""type"": ""Point"", ""coordinates"": [-123.122490354875, 49.2848518559734]}",25,-123.122490354875, 49.2848518559734
(Richard Jackson),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",25,-123.119358394194, 49.2850670237956
Transworld Management Ltd,"{""type"": ""Point"", ""coordinates"": [-123.126104236733, 49.2638663729166]}",25,-123.126104236733, 49.2638663729166
(Richard Peck),"{""type"": ""Point"", ""coordinates"": [-123.114887205241, 49.2855493252748]}",25,-123.114887205241, 49.2855493252748
Kevin J Macdonald (Kevin Macdonald),"{""type"": ""Point"", ""coordinates"": [-123.119650025722, 49.2836841369494]}",25,-123.119650025722, 49.2836841369494
Rand & Fowler Insurance Services Ltd,"{""type"": ""Point"", ""coordinates"": [-123.024624956155, 49.2635273764821]}",25,-123.024624956155, 49.2635273764821
Unimet Investments Ltd,"{""type"": ""Point"", ""coordinates"": [-123.118820131479, 49.2810970898114]}",25,-123.118820131479, 49.2810970898114
Killarney Insurance Agencies Ltd,"{""type"": ""Point"", ""coordinates"": [-123.066427670558, 49.2157689724011]}",25,-123.066427670558, 49.2157689724011
King Day Holdings Ltd,"{""type"": ""Point"", ""coordinates"": [-123.131006725859, 49.26375872366]}",25,-123.131006725859, 49.26375872366
Allena Chong Insurance Agencies Ltd,"{""type"": ""Point"", ""coordinates"": [-123.097878247216, 49.2777935107905]}",25,-123.097878247216, 49.2777935107905
Allied Holdings Ltd,"{""type"": ""Point"", ""coordinates"": [-123.113123090414, 49.2838690672845]}",25,-123.113123090414, 49.2838690672845
(Brent Kenny),"{""type"": ""Point"", ""coordinates"": [-123.122490354875, 49.2848518559734]}",25,-123.122490354875, 49.2848518559734
Richard C Robinson (Richard Robinson),"{""type"": ""Point"", ""coordinates"": [-123.119442826462, 49.2629712410679]}",25,-123.119442826462, 49.2629712410679
Artland Holdings Ltd,"{""type"": ""Point"", ""coordinates"": [-123.12530306591, 49.2824259356852]}",25,-123.12530306591, 49.2824259356852
John J Hyde (John Hyde),"{""type"": ""Point"", ""coordinates"": [-123.11758014442, 49.2860516234368]}",25,-123.11758014442, 49.2860516234368
John Logan Law Corporation,"{""type"": ""Point"", ""coordinates"": [-123.124913915747, 49.2800408534638]}",25,-123.124913915747, 49.2800408534638
Maureen L A Lundell (Maureen Lundell),"{""type"": ""Point"", ""coordinates"": [-123.117897724969, 49.2818316993831]}",25,-123.117897724969, 49.2818316993831
Valles Steamship (canada) Ltd,"{""type"": ""Point"", ""coordinates"": [-123.118192793095, 49.2877342016388]}",25,-123.118192793095, 49.2877342016388
A-1 Vancouver Insurance Brokers Ltd,"{""type"": ""Point"", ""coordinates"": [-123.115376990466, 49.2590881464841]}",25,-123.115376990466, 49.2590881464841
Rapid-Med Plus Inc,"{""type"": ""Point"", ""coordinates"": [-123.122678757816, 49.2640000415242]}",25,-123.122678757816, 49.2640000415242
Mary L Ruhl (Mary Ruhl),"{""type"": ""Point"", ""coordinates"": [-123.119358394194, 49.2850670237956]}",25,-123.119358394194, 49.2850670237956
Anthony G V Tobin (Anthony Tobin),"{""type"": ""Point"", ""coordinates"": [-123.122835857511, 49.2803098063228]}",25,-123.122835857511, 49.2803098063228
(Pauline Fong-Leung),"{""type"": ""Point"", ""coordinates"": [-123.118596122757, 49.2635657969344]}",25,-123.118596122757, 49.2635657969344
