Name,Google Name,Distance(km),Warning
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Bliss Cremation & Green Burial Services Inc,Bliss Cremation & Green Burial Services Inc.,0.018359673963113585,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Raincoast Funeral And Cremation Services Ltd,Raincoast Funeral and Cremation Services Ltd.,0.06545711650959415,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
Bliss Cremation & Green Burial Services Inc,Bliss Cremation & Green Burial Services Inc.,0.018359673963113585,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Raincoast Funeral And Cremation Services Ltd,Raincoast Funeral and Cremation Services Ltd.,0.06545711650959415,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
Bliss Cremation & Green Burial Services Inc,Bliss Cremation & Green Burial Services Inc.,0.018359673963113585,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
First Memorial Services Ltd,First Memorial Funeral Services & Boal Chapel and Memorial Gardens,8.705727051439098,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
Raincoast Funeral And Cremation Services Ltd,Raincoast Funeral and Cremation Services Ltd.,0.06545711650959415,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Bliss Cremation & Green Burial Services Inc,Bliss Cremation & Green Burial Services Inc.,0.018359673963113585,Giving distance between geometric information obtained.
Classic Cremation & Funeral Services Inc,Amherst Funeral and Cremation Services,8.531289367803991,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Glenhaven Memorial Chapel Ltd,Glenhaven Memorial Chapel,0.027004704733190627,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
Raincoast Funeral And Cremation Services Ltd,Raincoast Funeral and Cremation Services Ltd.,0.06545711650959415,Giving distance between geometric information obtained.
Classic Cremation & Funeral Services Inc,Amherst Funeral and Cremation Services,8.531289367803991,Giving distance between geometric information obtained.
Bliss Cremation & Green Burial Services Inc,Bliss Cremation & Green Burial Services Inc.,0.018359673963113585,Giving distance between geometric information obtained.
Service Corporation International Canada Ltd,Service Corporation International (Canada) ULC,3.2130803694235457,Giving distance between geometric information obtained.
Walkey & Company Funeral Directors Ltd,Walkey & Co Funeral Directors,4.3671859724419325e-06,Giving distance between geometric information obtained.
Classic Cremation & Funeral Services Inc,Amherst Funeral and Cremation Services,8.531289367803991,Giving distance between geometric information obtained.
Service Corporation International (Canada) ULC,Service Corporation International (Canada) ULC,5.61586773610824,Giving distance between geometric information obtained.
Kearney Funeral Services Ltd,Kearney Funeral Services Burnaby Chapel,8.64229831795604,Giving distance between geometric information obtained.
